Zip Code,State Code,State Name,State Region,State Division
995,AK,Alaska,West,Pacific
996,AK,Alaska,West,Pacific
997,AK,Alaska,West,Pacific
998,AK,Alaska,West,Pacific
999,AK,Alaska,West,Pacific
350,AL,Alabama,South,East South Central
351,AL,Alabama,South,East South Central
352,AL,Alabama,South,East South Central
354,AL,Alabama,South,East South Central
355,AL,Alabama,South,East South Central
356,AL,Alabama,South,East South Central
357,AL,Alabama,South,East South Central
358,AL,Alabama,South,East South Central
359,AL,Alabama,South,East South Central
360,AL,Alabama,South,East South Central
361,AL,Alabama,South,East South Central
362,AL,Alabama,South,East South Central
363,AL,Alabama,South,East South Central
364,AL,Alabama,South,East South Central
365,AL,Alabama,South,East South Central
366,AL,Alabama,South,East South Central
367,AL,Alabama,South,East South Central
368,AL,Alabama,South,East South Central
369,AL,Alabama,South,East South Central
716,AR,Arkansas,South,West South Central
717,AR,Arkansas,South,West South Central
718,AR,Arkansas,South,West South Central
719,AR,Arkansas,South,West South Central
720,AR,Arkansas,South,West South Central
721,AR,Arkansas,South,West South Central
722,AR,Arkansas,South,West South Central
723,AR,Arkansas,South,West South Central
724,AR,Arkansas,South,West South Central
725,AR,Arkansas,South,West South Central
726,AR,Arkansas,South,West South Central
727,AR,Arkansas,South,West South Central
728,AR,Arkansas,South,West South Central
729,AR,Arkansas,South,West South Central
850,AZ,Arizona,West,Mountain
851,AZ,Arizona,West,Mountain
852,AZ,Arizona,West,Mountain
853,AZ,Arizona,West,Mountain
855,AZ,Arizona,West,Mountain
856,AZ,Arizona,West,Mountain
857,AZ,Arizona,West,Mountain
859,AZ,Arizona,West,Mountain
860,AZ,Arizona,West,Mountain
863,AZ,Arizona,West,Mountain
864,AZ,Arizona,West,Mountain
865,AZ,Arizona,West,Mountain
900,CA,California,West,Pacific
901,CA,California,West,Pacific
902,CA,California,West,Pacific
903,CA,California,West,Pacific
904,CA,California,West,Pacific
905,CA,California,West,Pacific
906,CA,California,West,Pacific
907,CA,California,West,Pacific
908,CA,California,West,Pacific
910,CA,California,West,Pacific
911,CA,California,West,Pacific
912,CA,California,West,Pacific
913,CA,California,West,Pacific
914,CA,California,West,Pacific
915,CA,California,West,Pacific
916,CA,California,West,Pacific
917,CA,California,West,Pacific
918,CA,California,West,Pacific
919,CA,California,West,Pacific
920,CA,California,West,Pacific
921,CA,California,West,Pacific
922,CA,California,West,Pacific
923,CA,California,West,Pacific
924,CA,California,West,Pacific
925,CA,California,West,Pacific
926,CA,California,West,Pacific
927,CA,California,West,Pacific
928,CA,California,West,Pacific
930,CA,California,West,Pacific
931,CA,California,West,Pacific
932,CA,California,West,Pacific
933,CA,California,West,Pacific
934,CA,California,West,Pacific
935,CA,California,West,Pacific
936,CA,California,West,Pacific
937,CA,California,West,Pacific
938,CA,California,West,Pacific
939,CA,California,West,Pacific
940,CA,California,West,Pacific
941,CA,California,West,Pacific
942,CA,California,West,Pacific
943,CA,California,West,Pacific
944,CA,California,West,Pacific
945,CA,California,West,Pacific
946,CA,California,West,Pacific
947,CA,California,West,Pacific
948,CA,California,West,Pacific
949,CA,California,West,Pacific
950,CA,California,West,Pacific
951,CA,California,West,Pacific
952,CA,California,West,Pacific
953,CA,California,West,Pacific
954,CA,California,West,Pacific
955,CA,California,West,Pacific
956,CA,California,West,Pacific
957,CA,California,West,Pacific
958,CA,California,West,Pacific
959,CA,California,West,Pacific
960,CA,California,West,Pacific
961,CA,California,West,Pacific
800,CO,Colorado,West,Mountain
801,CO,Colorado,West,Mountain
802,CO,Colorado,West,Mountain
803,CO,Colorado,West,Mountain
804,CO,Colorado,West,Mountain
805,CO,Colorado,West,Mountain
806,CO,Colorado,West,Mountain
807,CO,Colorado,West,Mountain
808,CO,Colorado,West,Mountain
809,CO,Colorado,West,Mountain
810,CO,Colorado,West,Mountain
811,CO,Colorado,West,Mountain
812,CO,Colorado,West,Mountain
813,CO,Colorado,West,Mountain
814,CO,Colorado,West,Mountain
815,CO,Colorado,West,Mountain
816,CO,Colorado,West,Mountain
60,CT,Connecticut,Northeast,New England
61,CT,Connecticut,Northeast,New England
62,CT,Connecticut,Northeast,New England
